id,prefix,gamerTag,discriminator
3442890,,Itss2Eazyy,49ee8d5d
1630991,,STILL Gigas,b3184096
3441225,,JeauxColorado,2b2eb2e3
3442088,,kickinnc2,9215bfa8
1655336,,SpOwOky_Angu,ef27084b
3441371,,BarinRojo,8df3e68c
781642,,Jhennyinthecup,05b58e89
627949,,Malia,114a6fea
2652265,,Darkstar,b6af19a7
3439532,,Crash Cringle,73b1897a
3439497,,BadAntelope,7df3718e
3374222,,Taraun Anderson,5d3ec0fc
3156620,,ReformedSho#TWT,ca5e2ab0
3396838,,Alex,
2403703,Bhop,Goomba Roomba,5392e440
3065163,Twitch,GlitchedGoddess,a4c7a09f
473954,,baraka,9d0dfc93
1970499,,Blizzrdball,bdbeaaf0
2027270,,itgalex,97813247
2214618,,X!!,3cc8c8ed
2354355,,midtown,649127bf
3171983,,HeavyMode,3d399b44
2409673,,Koffee,d1207fcb
2275154,,SirDelins,97d82fb9
1838861,,WDRM,1f8376b0
231774,,Matty Ice,1336c4bf
486724,TBD,Captain Carbon,92e538cc
2298424,STUUF,simplySOUF,857ad296
12877,DDRIllini,CarterTheQ,db47f574
3291058,,PenguinMessiah,d3ca308a
3008718,,idontevenknowyou,0669859a
2048909,,KEAK,391ac297
473823,,meowbois,6b96f2ab
155600,,Limen,e3964cf2
436726,,lolipo,1d674757
2008712,,Chance R.,3a372353
656475,ROBERTO,VincentITG,226cd505
1821389,,XEPHER,cdecc7e5
2151595,,LIGHTW8,2121c3fa
3286044,,BMG!!,edccd012
2628662,,Bostic300,d4495286
14485,HFIL,cheesecake,b1875b2d
488761,,DomDeeKong,20fcba89
2119088,,dashark,2f8f7845
1956381,pals,Yama,f9901178
806211,,PolloxX,613d4730
1786551,MOISTBOIS,Yokamaa,1ee0ca7e
630151,IIDX,FabSab440,76ce2ba6
792951,,Ty,d0e4d8b9
2230581,,datcoreedoe,e549c65b
2400497,,Skate,3c532367
2296976,,undrscore,741bcead
2072594,,Flash,baf87bf4
1955111,LONESTAR,Andeh,e9b9f217
1787090,RNG,ANDROO,c7bd7fec
2158665,,cousinoer5,63385614
2626971,,Agent A,e4e1304b
2267114,,Lazor,0d539df8
2206880,,SailorMoonElite,1ec6593b
727583,,Miligram,db6de701
94078,,SpeakEZ,03229ef1
2121528,,Higgy,8f9d2f17
3266358,,Ryuguu,f04c1451
1451396,RNG,chezmix,9ab67a73
2099374,STORM,Chief Skittles,04153250
605243,,mdx,76f9d3bd
2512771,ASU,EvanS,b8aaf24f
3265571,,Emmp,
746713,OCG,JONBUDDY,40382427
143547,STORM,VivaLaMoo,3aadda80
497819,,T. Swag,2ddd55d0
90040,,teejusb,ea646ec3
1814321,,Eesa,d9a6772f
2090414,,Flip,8a84a321
436678,TBD,EvilDave219,96661b6c
437458,,Rynker,f63b99dd
3453428,,SpeakEZ,
487027,MAH MI,DIGI,dbd9b614
739936,RNG,EMCAT,ff8ebf72
631250,BITE,Angel_Who,eb8dc0e6
916638,,Shinobee,b6b3f83f
